Gene	TypeV	ZT
AT3G13062	Stable	ZT8
AT3G49800	Stable	ZT8
AT1G20890	Stable	ZT8
AT3G07780	Stable	ZT8
AT1G18490	Stable	ZT8
AT2G41760	Stable	ZT8
AT1G73730	Stable	ZT8
AT2G43180	Stable	ZT8
AT5G64150	Stable	ZT8
AT5G63990	Stable	ZT8
AT1G02740	Stable	ZT8
AT3G47690	Stable	ZT8
AT5G16930	Stable	ZT8
AT5G16040	Stable	ZT8
AT2G31240	Stable	ZT8
AT1G22920	Stable	ZT8
AT1G05270	Stable	ZT8
AT5G04990	Stable	ZT8
AT4G28600	Stable	ZT8
AT3G26680	Stable	ZT8
AT5G45710	Stable	ZT8
AT5G64660	Stable	ZT8
AT3G47080	Stable	ZT8
AT5G55700	Stable	ZT8
AT2G13650	Stable	ZT8
AT1G55530	Stable	ZT8
AT4G27690	Stable	ZT8
AT5G13090	Stable	ZT8
AT3G47850	Stable	ZT8
AT5G10110	Stable	ZT8
AT1G11020	Stable	ZT8
AT2G30710	Stable	ZT8
AT2G46080	Stable	ZT8
AT1G63360	Stable	ZT8
AT1G77810	Stable	ZT8
AT3G56830	Stable	ZT8
AT4G31010	Stable	ZT8
AT5G11430	Stable	ZT8
AT5G25120	Stable	ZT8
AT2G23985	Stable	ZT8
AT5G56140	Stable	ZT8
AT1G44770	Stable	ZT8
AT5G01090	Stable	ZT8
AT5G43680	Stable	ZT8
AT5G11030	Stable	ZT8
AT5G51050	Stable	ZT8
AT5G52110	Stable	ZT8
AT1G34010	Stable	ZT8
AT5G53900	Stable	ZT8
AT1G70530	Stable	ZT8
AT4G10610	Stable	ZT8
AT1G29960	Stable	ZT8
AT1G11930	Stable	ZT8
AT5G03520	Stable	ZT8
AT4G39920	Stable	ZT8
AT3G44680	Stable	ZT8
AT2G20950	Stable	ZT8
AT3G52210	Stable	ZT8
AT5G43720	Stable	ZT8
AT5G54930	Stable	ZT8
AT5G13160	Stable	ZT8
AT4G25720	Stable	ZT8
AT4G32040	Stable	ZT8
AT1G05860	Stable	ZT8
AT5G44150	Stable	ZT8
AT5G05750	Stable	ZT8
AT3G52610	Stable	ZT8
AT4G32660	Stable	ZT8
AT1G78590	Stable	ZT8
AT1G19010	Stable	ZT8
AT4G18160	Stable	ZT8
AT1G61000	Stable	ZT8
AT5G08340	Stable	ZT8
AT1G54090	Stable	ZT8
AT4G33950	Stable	ZT8
AT5G15730	Stable	ZT8
AT1G19580	Stable	ZT8
AT5G19480	Stable	ZT8
AT2G25530	Stable	ZT8
AT2G46580	Stable	ZT8
AT1G23460	Stable	ZT8
AT1G56290	Stable	ZT8
AT2G24830	Stable	ZT8
AT3G26770	Stable	ZT8
AT5G14930	Stable	ZT8
AT5G56590	Stable	ZT8
AT2G16460	Stable	ZT8
AT2G46430	Stable	ZT8
AT5G58003	Stable	ZT8
AT1G64040	Stable	ZT8
AT5G53530	Stable	ZT8
AT3G08880	Stable	ZT8
AT2G41710	Stable	ZT8
AT2G18850	Stable	ZT8
AT3G54020	Stable	ZT8
AT1G56210	Stable	ZT8
AT1G76710	Stable	ZT8
AT3G14610	Stable	ZT8
AT3G61530	Stable	ZT8
AT3G01300	Stable	ZT8
AT4G21460	Stable	ZT8
AT1G56000	Stable	ZT8
AT3G26922	Stable	ZT8
AT4G01840	Stable	ZT8
AT4G25610	Stable	ZT8
AT5G61930	Stable	ZT8
AT5G06580	Stable	ZT8
AT1G80350	Stable	ZT8
AT4G28640	Stable	ZT8
AT2G32410	Stable	ZT8
AT3G22180	Stable	ZT8
AT5G51130	Stable	ZT8
AT2G18750	Stable	ZT8
AT2G46900	Stable	ZT8
AT2G44770	Stable	ZT8
AT4G33140	Stable	ZT8
AT2G45280	Stable	ZT8
AT3G15390	Stable	ZT8
AT1G64142	Stable	ZT8
AT5G24500	Stable	ZT8
AT2G40260	Stable	ZT8
AT1G32410	Stable	ZT8
AT5G05450	Stable	ZT8
AT1G05410	Stable	ZT8
AT5G63830	Stable	ZT8
AT1G06050	Stable	ZT8
AT1G23170	Stable	ZT8
AT1G62520	Stable	ZT8
AT2G20980	Stable	ZT8
AT3G03210	Stable	ZT8
AT3G55990	Stable	ZT8
AT5G07730	Stable	ZT8
AT1G01990	Stable	ZT8
AT3G02290	Stable	ZT8
AT5G48720	Stable	ZT8
AT4G27120	Stable	ZT8
AT2G46070	Stable	ZT8
AT5G10710	Stable	ZT8
AT1G75140	Stable	ZT8
AT3G15180	Stable	ZT8
AT3G46870	Stable	ZT8
AT4G35930	Stable	ZT8
AT1G61350	Stable	ZT8
AT2G45690	Stable	ZT8
AT2G18770	Stable	ZT8
AT2G33590	Stable	ZT8
AT3G27420	Stable	ZT8
AT1G51450	Stable	ZT8
AT1G59560	Stable	ZT8
AT2G04940	Stable	ZT8
AT1G80210	Stable	ZT8
AT5G51220	Stable	ZT8
AT1G75510	Stable	ZT8
AT5G63680	Stable	ZT8
AT2G28315	Stable	ZT8
AT4G21585	Stable	ZT8
AT3G55960	Stable	ZT8
AT3G08910	Stable	ZT8
AT3G11100	Stable	ZT8
AT1G01260	Stable	ZT8
AT5G05870	Stable	ZT8
AT1G09100	Stable	ZT8
AT3G15610	Stable	ZT8
AT3G19640	Stable	ZT8
AT5G23330	Stable	ZT8
AT3G52280	Stable	ZT8
AT4G36032	Stable	ZT8
AT2G40150	Stable	ZT8
AT1G49180	Stable	ZT8
AT3G21360	Stable	ZT8
AT5G50820	Stable	ZT8
AT1G52140	Stable	ZT8
AT1G01710	Stable	ZT8
AT1G76700	Stable	ZT8
AT1G78690	Stable	ZT8
AT3G21175	Stable	ZT8
AT2G40935	Stable	ZT8
AT3G48780	Stable	ZT8
AT5G61570	Stable	ZT8
AT2G23200	Stable	ZT8
AT3G63270	Stable	ZT8
AT5G24430	Stable	ZT8
AT5G06770	Stable	ZT8
AT4G24500	Stable	ZT8
AT5G59450	Stable	ZT8
AT2G42400	Stable	ZT8
AT1G80190	Stable	ZT8
AT3G53410	Stable	ZT8
AT5G01510	Stable	ZT8
AT3G13224	Stable	ZT8
AT1G04590	Stable	ZT8
AT1G16340	Stable	ZT8
AT1G55520	Stable	ZT8
AT1G15230	Stable	ZT8
AT3G02700	Stable	ZT8
AT3G27960	Stable	ZT8
AT3G54950	Stable	ZT8
AT3G58690	Stable	ZT8
AT5G17690	Stable	ZT8
AT4G33495	Stable	ZT8
AT2G43400	Stable	ZT8
AT4G08500	Stable	ZT8
AT1G67590	Stable	ZT8
AT2G36740	Stable	ZT8
AT3G16170	Stable	ZT8
AT1G44780	Stable	ZT8
AT3G55640	Stable	ZT8
AT4G36710	Stable	ZT8
AT3G26410	Stable	ZT8
AT5G35670	Stable	ZT8
AT5G45380	Stable	ZT8
AT5G47810	Stable	ZT8
AT5G56460	Stable	ZT8
AT1G06700	Stable	ZT8
AT4G20280	Stable	ZT8
AT4G39240	Stable	ZT8
AT1G80810	Stable	ZT8
AT2G17110	Stable	ZT8
AT2G19260	Stable	ZT8
AT2G19430	Stable	ZT8
AT2G45010	Stable	ZT8
AT2G44270	Stable	ZT8
AT2G48000	Stable	ZT8
AT2G20830	Stable	ZT8
AT3G21630	Stable	ZT8
AT1G64400	Stable	ZT8
AT1G68540	Stable	ZT8
AT3G45100	Stable	ZT8
AT4G01880	Stable	ZT8
