Gene	effect.size_ZT16	p.value_ZT16	q.value_ZT16	Mean_ZT16	CV2_ZT16	TechNoise_ZT16	BioVar_ZT16
AT1G08115	0.240126044	2.12E-12	1.96E-10	30.57142857	0.272381867	0.032255823	3.077999123
AT5G49360	0.238881921	6.66E-16	8.65E-14	44.92857143	0.262291786	0.023409866	3.485984072
AT3G48450	0.238709109	1.87E-06	7.14E-05	13.35714286	0.306640827	0.067931718	2.174392543
AT1G66100	0.23766271	5.22E-15	6.40E-13	41.35714286	0.262699188	0.025036478	3.391308224
AT4G12480	0.235484797	0	0	95.42857143	0.24892672	0.013441923	4.210909629
AT2G25510	0.230957014	0	0	379.5714286	0.237760284	0.00680327	5.127135585
AT1G73330	0.229058023	0	0	224.7142857	0.237397757	0.008339733	4.831161222
AT3G53480	0.228015131	2.01E-11	1.64E-09	29.57142857	0.261207065	0.033191934	2.976289332
AT1G10657	0.226656004	1.24E-07	5.94E-06	17.57142857	0.2793921	0.052736095	2.405428567
AT5G58390	0.226420478	6.37E-05	0.001863328	10.28571429	0.313271605	0.086851127	1.850797529
AT4G12870	0.22630065	0.00113895	0.024933239	7.142857143	0.349353846	0.123053197	1.505406889
AT4G14630	0.226245878	1.51E-06	5.84E-05	14.57142857	0.288897761	0.062651883	2.205129245
AT1G74670	0.225128526	0	0	172.4285714	0.234610239	0.009481713	4.628974455
AT5G64120	0.224878574	1.67E-15	2.11E-13	48.35714286	0.246952936	0.022074362	3.483792488
AT3G17790	0.224564619	0.000208669	0.005383234	9.071428571	0.32242926	0.097864642	1.720123059
AT3G22620	0.223732086	0	0	62.21428571	0.241908481	0.018176395	3.73432334
AT5G05500	0.223612385	7.33E-08	3.64E-06	18.57142857	0.273755121	0.050142735	2.448773345
AT3G16440	0.223290998	2.10E-06	7.90E-05	14.42857143	0.286517913	0.063226915	2.180014612
ATCG00720	0.222021312	1.35E-06	5.29E-05	15.07142857	0.282746431	0.060725119	2.219143503
AT5G20150	0.221746441	1.34E-05	0.000441225	12.35714286	0.294805398	0.073058957	2.012629881
AT3G55230	0.221684678	5.44E-11	4.13E-09	29.28571429	0.255155814	0.033471136	2.93038909
AT4G15390	0.219112239	1.89E-15	2.37E-13	50.5	0.240443999	0.021331759	3.494626055
AT1G29440	0.217296073	0.00034636	0.008538439	8.857142857	0.317417754	0.100121681	1.664628412
AT5G48010	0.216709806	5.03E-10	3.32E-08	26.71428571	0.252962514	0.036252708	2.802762951
AT5G14780	0.216090075	0	0	108.0714286	0.228494539	0.012404464	4.2032284
AT3G48340	0.215605786	1.72E-09	1.05E-07	25	0.254030769	0.038424983	2.724886736
AT1G64590	0.215520717	0.002383101	0.046999542	6.714285714	0.346136435	0.130615718	1.406012294
AT1G68850	0.215476874	0.000292922	0.007346532	9.142857143	0.31261268	0.097135806	1.686301196
AT4G17670	0.215413474	0.000141246	0.003744726	10	0.304615385	0.089201911	1.771842284
AT2G23000	0.215197513	0.000745136	0.016866337	8.071428571	0.324620324	0.109422812	1.568839798
AT3G25770	0.214554575	0	0	228.2142857	0.22283655	0.008281976	4.749867099
AT3G03500	0.21391961	0.007521387	0.130677697	5.428571429	0.374387385	0.160467775	1.222248218
AT4G20390	0.21365408	3.14E-13	3.12E-11	41	0.238868805	0.025214725	3.243880065
AT4G08770	0.21185715	1.18E-07	5.68E-06	19.35714286	0.26015022	0.04829307	2.429456854
AT4G38080	0.210813224	0	0	150.3571429	0.221015401	0.010202177	4.437197968
AT3G23550	0.210795611	9.31E-06	0.000316915	13.64285714	0.277400459	0.066604849	2.058271065
AT3G18000	0.210485433	1.11E-08	6.13E-07	23	0.251854006	0.041368573	2.605980589
AT5G66390	0.210172319	1.82E-11	1.51E-09	33.92857143	0.239689069	0.02951675	3.021558346
AT4G36570	0.209814235	5.10E-06	0.000180245	14.5	0.272752218	0.062937983	2.115588088
AT3G23290	0.209661729	0.000222573	0.005693998	9.785714286	0.300716812	0.091055084	1.723594057
AT5G25980	0.209582296	0	0	274.1428571	0.217243004	0.007660709	4.825688054
AT2G47200	0.208189533	1.54E-05	0.000502671	13.21428571	0.276806203	0.06861667	2.01224526
AT3G62040	0.207824162	0	0	125.7142857	0.219129649	0.011305487	4.27668966
AT1G03495	0.2075561	9.31E-07	3.78E-05	17	0.261911099	0.054354999	2.268592557
AT3G23430	0.206076686	2.10E-11	1.69E-09	34.78571429	0.234978822	0.028902136	3.02328269
AT5G65010	0.204550606	0	0	464.3571429	0.210946784	0.006396178	5.043525115
AT5G15265	0.204035888	6.02E-05	0.001773935	11.78571429	0.280415342	0.076379454	1.876308766
AT5G09480	0.203275219	5.67E-13	5.47E-11	43.5	0.227303678	0.024028459	3.241804995
AT2G35380	0.202438492	1.42E-07	6.77E-06	20.35714286	0.248583943	0.046145451	2.429472759
AT4G22666	0.202214962	2.26E-06	8.45E-05	16.35714286	0.258526432	0.05631147	2.198811076
AT3G08770	0.201608589	0	0	124.2857143	0.212991453	0.011382864	4.225860059
AT1G71740	0.201607288	0.000674206	0.015420191	8.857142857	0.301728968	0.100121681	1.591498801
AT2G43610	0.200621257	1.13E-10	8.26E-09	33	0.230839867	0.03021861	2.933383177
AT5G09520	0.200110055	4.41E-06	0.000158642	15.64285714	0.25878398	0.058673925	2.140956895
AT2G32300	0.200100618	8.16E-06	0.000281673	14.78571429	0.261910789	0.06181017	2.083159343
AT4G28940	0.198487994	3.13E-07	1.41E-05	19.71428571	0.245989046	0.047501052	2.3725627
AT2G34070	0.198403865	5.69E-12	5.07E-10	40	0.224134615	0.025730751	3.122800024
AT3G62680	0.197960645	5.77E-07	2.47E-05	18.85714286	0.247412941	0.049452295	2.322811567
AT1G78460	0.197808508	0	0	144.0714286	0.208256251	0.010447743	4.31709661
AT3G21680	0.19761744	0.002535837	0.049819437	7.357142857	0.317219777	0.119602337	1.407237135
AT3G13610	0.196973091	5.50E-13	5.33E-11	46.21428571	0.219858921	0.02288583	3.264051551
AT3G04210	0.196270313	7.97E-05	0.002257896	12	0.271367521	0.075097209	1.853416872
AT4G25820	0.196221923	2.49E-09	1.49E-07	28.21428571	0.230790431	0.034568507	2.739053198
AT1G09560	0.19614291	0	0	363.7142857	0.203043384	0.006900474	4.878948641
AT1G74460	0.195950756	2.48E-09	1.48E-07	28.28571429	0.230443518	0.034492763	2.740047598
AT5G10580	0.194308366	6.10E-12	5.41E-10	41.35714286	0.219344843	0.025036478	3.131097273
AT4G08555	0.194218825	5.62E-06	0.000196488	15.92857143	0.251922342	0.057703518	2.126247904
AT3G01190	0.19272943	2.80E-14	3.20E-12	56.92857143	0.212168811	0.019439381	3.448158415
AT3G05890	0.192097747	0	0	226.8571429	0.200401907	0.00830416	4.592918183
AT4G26950	0.190618004	0.015510975	0.242047025	5.214285714	0.357492386	0.166874381	1.099150027
AT3G29250	0.190390626	1.64E-10	1.18E-08	35.21428571	0.218996676	0.02860605	2.936516765
AT1G02360	0.190143576	1.36E-09	8.58E-08	30.85714286	0.222143083	0.031999507	2.795367627
AT1G11600	0.189926343	0.000431599	0.010399087	10.14285714	0.277936307	0.088009964	1.659015529
AT2G22510	0.189789679	1.18E-12	1.12E-10	47.5	0.212179842	0.022390163	3.244350649
AT3G15650	0.188400655	8.82E-05	0.002447171	12.5	0.260676923	0.072276268	1.850668947
AT2G43120	0.186938584	0.000246316	0.006280447	11.14285714	0.267460679	0.080522094	1.731870207
AT2G48140	0.186662219	5.19E-09	3.00E-07	29.07142857	0.220346358	0.033684139	2.709631709
AT5G43350	0.186383578	2.22E-16	2.96E-14	80.64285714	0.201451474	0.015067896	3.740882515
AT2G28160	0.186189119	8.09E-07	3.33E-05	20	0.233076923	0.046887804	2.31352155
AT1G22500	0.184457221	3.39E-10	2.29E-08	35.5	0.212869852	0.028412631	2.90536732
AT1G19070	0.184324494	4.75E-05	0.001423567	13.78571429	0.250286533	0.065962039	1.923872771
AT4G40090	0.183915734	2.17E-10	1.54E-08	36.71428571	0.211539917	0.027624183	2.936926198
AT5G36920	0.18386539	0.012778977	0.205267336	5.714285714	0.336538462	0.152673071	1.140325773
AT4G04745	0.183861509	2.35E-09	1.41E-07	31.42857143	0.215362365	0.031500856	2.773303213
AT2G22482	0.183439109	0.010587825	0.176110018	6	0.329059829	0.14562072	1.176134266
AT2G37130	0.18269301	1.11E-16	1.51E-14	89.64285714	0.196707305	0.014014295	3.811079484
AT1G80240	0.182187674	4.55E-10	3.02E-08	35.57142857	0.210552435	0.028364761	2.892007932
AT2G23540	0.182014925	2.00E-10	1.43E-08	37.57142857	0.209113242	0.027098317	2.948009274
AT1G05340	0.181991141	2.10E-05	0.000665881	15.28571429	0.24192909	0.059937949	2.013042625
AT5G02490	0.181620003	0.000108815	0.002961788	12.78571429	0.252383365	0.070763362	1.83454233
AT3G54590	0.18139459	0.006837883	0.120997371	6.714285714	0.312010307	0.130615718	1.256265175
ATCG00270	0.1812156	3.35E-07	1.50E-05	22.35714286	0.223642173	0.042426572	2.39815223
AT5G37690	0.180814774	5.42E-09	3.12E-07	30.5	0.213135427	0.032320653	2.721242182
AT1G21310	0.180369484	0	0	301.2857143	0.187752083	0.0073826	4.668556205
AT5G58860	0.180365997	7.78E-09	4.35E-07	29.85714286	0.213284072	0.032918075	2.69582435
AT1G77330	0.179984113	2.86E-11	2.23E-09	43.35714286	0.204076673	0.02409256	3.082451661
AT2G36100	0.179763105	4.32E-12	3.92E-10	48.85714286	0.201658367	0.021895261	3.203222684
AT4G15490	0.179737237	1.22E-05	0.00040714	16.42857143	0.23582376	0.056086523	2.071983031
AT4G30290	0.179206614	6.07E-07	2.58E-05	21.64285714	0.222882456	0.043675842	2.351375631
AT2G43620	0.178923978	0.025646192	0.366606571	4.857142857	0.357732233	0.178808255	1.000466774
AT4G22230	0.177981977	0.0075769	0.131344355	6.714285714	0.308597695	0.130615718	1.240398769
AT1G59730	0.177859802	0.010138066	0.169417372	6.285714286	0.317069294	0.139209492	1.187540587
AT3G12820	0.177826064	0.001564239	0.032687154	9.071428571	0.275690705	0.097864642	1.494191014
