Gene	TypeV	ZT
AT2G46250	Stable	ZT2
AT3G12360	Stable	ZT2
AT5G48150	Stable	ZT2
AT3G43590	Stable	ZT2
AT5G03430	Stable	ZT2
AT5G24870	Stable	ZT2
AT5G63100	Stable	ZT2
AT5G07670	Stable	ZT2
AT4G31310	Stable	ZT2
AT5G04510	Stable	ZT2
AT1G60800	Stable	ZT2
AT1G10870	Stable	ZT2
AT2G30880	Stable	ZT2
AT5G18760	Stable	ZT2
AT3G04580	Stable	ZT2
AT3G50080	Stable	ZT2
AT4G16790	Stable	ZT2
AT5G27830	Stable	ZT2
AT4G22730	Stable	ZT2
AT5G14620	Stable	ZT2
AT5G54830	Stable	ZT2
AT2G31340	Stable	ZT2
AT5G17910	Stable	ZT2
AT5G54860	Stable	ZT2
AT4G00030	Stable	ZT2
AT5G45940	Stable	ZT2
AT5G12350	Stable	ZT2
AT5G40270	Stable	ZT2
AT1G56560	Stable	ZT2
AT2G02970	Stable	ZT2
AT4G18070	Stable	ZT2
AT2G41000	Stable	ZT2
AT4G13550	Stable	ZT2
AT1G54060	Stable	ZT2
AT1G04300	Stable	ZT2
AT5G47420	Stable	ZT2
AT3G01300	Stable	ZT2
AT5G16210	Stable	ZT2
AT4G36190	Stable	ZT2
AT1G06770	Stable	ZT2
AT1G17790	Stable	ZT2
AT5G47490	Stable	ZT2
AT3G07890	Stable	ZT2
AT1G23330	Stable	ZT2
AT1G32490	Stable	ZT2
AT1G48635	Stable	ZT2
AT5G20070	Stable	ZT2
AT4G01040	Stable	ZT2
AT1G13100	Stable	ZT2
AT4G35560	Stable	ZT2
AT5G24310	Stable	ZT2
AT1G05270	Stable	ZT2
AT2G43210	Stable	ZT2
AT4G24630	Stable	ZT2
AT3G03720	Stable	ZT2
AT5G63710	Stable	ZT2
AT2G20900	Stable	ZT2
AT1G29170	Stable	ZT2
AT1G67690	Stable	ZT2
AT5G14700	Stable	ZT2
AT5G23680	Stable	ZT2
AT1G07250	Stable	ZT2
AT1G29550	Stable	ZT2
AT1G78690	Stable	ZT2
AT4G01090	Stable	ZT2
AT5G55400	Stable	ZT2
