Gene	TypeV	ZT
AT5G07475	Variable	ZT12
AT2G41560	Variable	ZT12
AT1G05000	Variable	ZT12
AT5G24105	Variable	ZT12
AT4G04745	Variable	ZT12
AT4G37410	Variable	ZT12
AT1G59870	Variable	ZT12
AT2G46220	Variable	ZT12
AT1G55450	Variable	ZT12
AT3G45140	Variable	ZT12
AT1G60590	Variable	ZT12
AT3G29780	Variable	ZT12
AT3G56705	Variable	ZT12
AT2G38170	Variable	ZT12
AT1G03870	Variable	ZT12
AT3G09270	Variable	ZT12
AT4G25100	Variable	ZT12
AT1G21310	Variable	ZT12
AT5G43350	Variable	ZT12
AT5G17170	Variable	ZT12
AT3G23430	Variable	ZT12
AT4G39210	Variable	ZT12
AT3G16360	Variable	ZT12
AT1G31580	Variable	ZT12
AT4G19410	Variable	ZT12
AT1G52200	Variable	ZT12
AT2G24945	Variable	ZT12
AT3G15650	Variable	ZT12
AT4G33960	Variable	ZT12
AT4G31910	Variable	ZT12
AT4G13860	Variable	ZT12
AT1G80920	Variable	ZT12
AT3G14940	Variable	ZT12
AT3G10020	Variable	ZT12
AT4G15610	Variable	ZT12
AT5G44130	Variable	ZT12
AT1G26770	Variable	ZT12
AT5G66690	Variable	ZT12
AT5G58860	Variable	ZT12
AT1G16410	Variable	ZT12
AT5G24155	Variable	ZT12
AT2G05520	Variable	ZT12
AT1G74460	Variable	ZT12
ATCG00020	Variable	ZT12
AT2G01850	Variable	ZT12
AT5G44550	Variable	ZT12
AT4G23600	Variable	ZT12
AT2G25810	Variable	ZT12
AT2G40205	Variable	ZT12
AT3G18290	Variable	ZT12
AT5G48485	Variable	ZT12
AT1G02360	Variable	ZT12
AT2G38380	Variable	ZT12
AT5G67370	Variable	ZT12
AT1G30510	Variable	ZT12
AT5G10130	Variable	ZT12
AT2G05070	Variable	ZT12
AT1G78820	Variable	ZT12
AT5G24490	Variable	ZT12
AT1G76680	Variable	ZT12
AT5G25980	Variable	ZT12
AT2G38390	Variable	ZT12
AT1G33590	Variable	ZT12
AT3G20370	Variable	ZT12
AT5G18150	Variable	ZT12
AT1G23020	Variable	ZT12
ATCG00280	Variable	ZT12
AT2G25980	Variable	ZT12
AT1G56220	Variable	ZT12
AT5G07322	Variable	ZT12
AT3G49120	Variable	ZT12
AT1G52070	Variable	ZT12
AT2G21045	Variable	ZT12
AT4G23680	Variable	ZT12
AT4G30650	Variable	ZT12
AT3G17790	Variable	ZT12
AT4G15390	Variable	ZT12
AT3G16450	Variable	ZT12
AT5G22580	Variable	ZT12
AT1G67750	Variable	ZT12
AT1G52342	Variable	ZT12
AT5G09480	Variable	ZT12
AT1G78340	Variable	ZT12
ATCG00950	Variable	ZT12
AT2G05100	Variable	ZT12
AT5G24150	Variable	ZT12
AT1G54000	Variable	ZT12
AT2G22470	Variable	ZT12
AT3G01190	Variable	ZT12
AT1G53560	Variable	ZT12
AT4G04830	Variable	ZT12
AT2G40300	Variable	ZT12
AT3G57157	Variable	ZT12
AT1G09560	Variable	ZT12
AT1G20070	Variable	ZT12
AT2G28790	Variable	ZT12
AT3G57020	Variable	ZT12
ATCG00490	Variable	ZT12
AT3G13610	Variable	ZT12
AT1G29920	Variable	ZT12
AT2G48130	Variable	ZT12
AT1G77330	Variable	ZT12
AT1G05835	Variable	ZT12
AT3G32980	Variable	ZT12
AT1G02900	Variable	ZT12
AT3G27690	Variable	ZT12
AT3G22600	Variable	ZT12
AT4G21990	Variable	ZT12
AT5G11070	Variable	ZT12
AT5G44020	Variable	ZT12
ATCG00920	Variable	ZT12
AT5G05960	Variable	ZT12
AT1G32920	Variable	ZT12
ATMG01390	Variable	ZT12
AT1G11580	Variable	ZT12
AT3G02885	Variable	ZT12
AT4G29270	Variable	ZT12
AT1G19550	Variable	ZT12
AT5G59520	Variable	ZT12
AT5G56540	Variable	ZT12
AT2G36120	Variable	ZT12
AT2G44790	Variable	ZT12
AT3G22240	Variable	ZT12
AT5G67480	Variable	ZT12
ATMG00020	Variable	ZT12
AT2G27385	Variable	ZT12
AT4G13250	Variable	ZT12
AT1G29418	Variable	ZT12
AT3G44990	Variable	ZT12
AT2G18980	Variable	ZT12
AT3G08940	Variable	ZT12
AT2G30930	Variable	ZT12
AT1G70830	Variable	ZT12
AT3G61440	Variable	ZT12
AT5G24660	Variable	ZT12
AT1G67360	Variable	ZT12
AT1G70782	Variable	ZT12
AT3G02020	Variable	ZT12
AT5G36910	Variable	ZT12
AT1G07610	Variable	ZT12
AT1G25275	Variable	ZT12
AT1G64980	Variable	ZT12
AT1G10682	Variable	ZT12
AT5G23010	Variable	ZT12
AT1G62560	Variable	ZT12
AT1G16720	Variable	ZT12
AT2G23600	Variable	ZT12
AT3G52360	Variable	ZT12
AT2G18328	Variable	ZT12
AT3G16400	Variable	ZT12
AT5G64080	Variable	ZT12
AT5G41010	Variable	ZT12
AT2G06850	Variable	ZT12
AT4G30670	Variable	ZT12
AT2G29310	Variable	ZT12
AT3G16460	Variable	ZT12
AT1G72430	Variable	ZT12
AT2G05440	Variable	ZT12
AT1G56430	Variable	ZT12
AT2G18230	Variable	ZT12
AT5G02160	Variable	ZT12
AT1G04040	Variable	ZT12
AT4G34950	Variable	ZT12
AT1G37130	Variable	ZT12
AT1G14870	Variable	ZT12
AT4G13500	Variable	ZT12
AT4G16370	Variable	ZT12
AT5G64770	Variable	ZT12
AT2G39700	Variable	ZT12
AT1G62480	Variable	ZT12
AT3G19030	Variable	ZT12
AT3G48990	Variable	ZT12
AT5G42650	Variable	ZT12
AT3G62550	Variable	ZT12
AT3G19710	Variable	ZT12
AT1G66200	Variable	ZT12
AT1G70890	Variable	ZT12
AT1G78020	Variable	ZT12
AT5G23590	Stable	ZT12
AT1G29550	Stable	ZT12
AT5G60590	Stable	ZT12
AT5G46410	Stable	ZT12
AT2G26200	Stable	ZT12
AT5G15170	Stable	ZT12
AT2G02730	Stable	ZT12
AT2G44150	Stable	ZT12
AT3G01040	Stable	ZT12
AT4G05060	Stable	ZT12
AT4G02740	Stable	ZT12
AT4G08310	Stable	ZT12
AT1G64628	Stable	ZT12
AT2G24830	Stable	ZT12
AT3G48160	Stable	ZT12
AT1G59720	Stable	ZT12
AT1G65470	Stable	ZT12
AT1G69670	Stable	ZT12
AT1G06730	Stable	ZT12
AT5G53020	Stable	ZT12
AT3G02920	Stable	ZT12
AT1G60560	Stable	ZT12
AT5G14620	Stable	ZT12
AT5G63380	Stable	ZT12
AT5G17530	Stable	ZT12
AT1G78650	Stable	ZT12
AT5G45160	Stable	ZT12
AT3G54170	Stable	ZT12
AT3G59380	Stable	ZT12
AT1G28410	Stable	ZT12
AT3G17590	Stable	ZT12
AT3G06570	Stable	ZT12
AT3G19280	Stable	ZT12
AT2G03270	Stable	ZT12
AT2G32415	Stable	ZT12
AT2G21230	Stable	ZT12
AT5G38690	Stable	ZT12
AT5G66090	Stable	ZT12
AT2G36240	Stable	ZT12
AT1G54060	Stable	ZT12
AT2G44730	Stable	ZT12
AT2G20140	Stable	ZT12
AT5G01620	Stable	ZT12
AT5G23080	Stable	ZT12
AT4G36960	Stable	ZT12
AT3G58900	Stable	ZT12
AT4G12300	Stable	ZT12
AT1G19800	Stable	ZT12
AT5G61510	Stable	ZT12
AT1G30480	Stable	ZT12
AT3G08020	Stable	ZT12
AT3G19380	Stable	ZT12
AT3G53240	Stable	ZT12
AT3G15355	Stable	ZT12
AT3G19570	Stable	ZT12
AT1G05055	Stable	ZT12
AT3G26850	Stable	ZT12
AT2G34780	Stable	ZT12
AT1G42540	Stable	ZT12
AT3G09760	Stable	ZT12
AT2G03220	Stable	ZT12
AT2G30590	Stable	ZT12
AT3G56510	Stable	ZT12
AT1G68370	Stable	ZT12
AT1G54440	Stable	ZT12
AT1G67580	Stable	ZT12
AT5G13050	Stable	ZT12
AT5G03320	Stable	ZT12
AT4G26310	Stable	ZT12
AT2G24520	Stable	ZT12
AT4G16210	Stable	ZT12
AT4G23860	Stable	ZT12
AT1G49350	Stable	ZT12
AT2G30880	Stable	ZT12
AT3G63090	Stable	ZT12
AT4G22305	Stable	ZT12
AT3G04470	Stable	ZT12
AT1G71090	Stable	ZT12
AT5G21970	Stable	ZT12
AT5G22730	Stable	ZT12
AT5G45780	Stable	ZT12
AT5G17250	Stable	ZT12
AT4G16440	Stable	ZT12
AT2G18410	Stable	ZT12
AT3G07370	Stable	ZT12
AT3G49060	Stable	ZT12
AT3G62330	Stable	ZT12
AT4G00335	Stable	ZT12
AT3G60440	Stable	ZT12
AT2G40630	Stable	ZT12
AT3G47060	Stable	ZT12
AT3G62470	Stable	ZT12
AT4G06598	Stable	ZT12
AT5G57035	Stable	ZT12
AT1G74170	Stable	ZT12
AT4G28480	Stable	ZT12
AT3G16110	Stable	ZT12
AT3G03070	Stable	ZT12
AT1G48040	Stable	ZT12
AT1G66510	Stable	ZT12
AT3G13050	Stable	ZT12
AT5G15460	Stable	ZT12
AT4G20280	Stable	ZT12
AT1G61350	Stable	ZT12
AT1G68130	Stable	ZT12
AT3G63260	Stable	ZT12
AT3G12990	Stable	ZT12
AT5G05870	Stable	ZT12
AT3G55600	Stable	ZT12
AT5G47790	Stable	ZT12
AT3G09030	Stable	ZT12
AT1G56350	Stable	ZT12
AT1G66660	Stable	ZT12
AT5G23680	Stable	ZT12
AT4G31540	Stable	ZT12
AT5G03450	Stable	ZT12
AT2G40830	Stable	ZT12
AT1G03560	Stable	ZT12
AT4G15090	Stable	ZT12
AT2G44510	Stable	ZT12
AT1G24120	Stable	ZT12
AT1G01930	Stable	ZT12
AT1G26120	Stable	ZT12
AT3G10700	Stable	ZT12
AT4G38270	Stable	ZT12
AT3G26020	Stable	ZT12
AT2G37520	Stable	ZT12
AT5G23520	Stable	ZT12
AT3G20320	Stable	ZT12
AT1G31150	Stable	ZT12
AT1G74950	Stable	ZT12
AT4G01400	Stable	ZT12
AT3G24495	Stable	ZT12
AT2G03430	Stable	ZT12
AT3G10630	Stable	ZT12
AT5G57210	Stable	ZT12
AT5G24970	Stable	ZT12
AT4G11960	Stable	ZT12
AT5G07320	Stable	ZT12
AT1G32860	Stable	ZT12
AT3G20020	Stable	ZT12
AT5G51230	Stable	ZT12
AT3G53570	Stable	ZT12
AT3G46870	Stable	ZT12
AT4G17080	Stable	ZT12
AT5G26910	Stable	ZT12
AT4G35490	Stable	ZT12
AT1G11410	Stable	ZT12
AT1G51965	Stable	ZT12
AT2G20440	Stable	ZT12
AT5G05940	Stable	ZT12
AT5G63830	Stable	ZT12
AT5G19280	Stable	ZT12
AT3G19980	Stable	ZT12
AT3G04930	Stable	ZT12
AT5G04990	Stable	ZT12
AT3G45400	Stable	ZT12
AT3G02820	Stable	ZT12
AT4G34460	Stable	ZT12
AT4G11260	Stable	ZT12
AT1G73930	Stable	ZT12
AT1G64580	Stable	ZT12
AT1G69270	Stable	ZT12
AT2G13690	Stable	ZT12
AT4G35140	Stable	ZT12
AT4G23740	Stable	ZT12
AT4G25870	Stable	ZT12
AT2G44020	Stable	ZT12
AT1G12460	Stable	ZT12
AT1G30810	Stable	ZT12
AT4G30360	Stable	ZT12
AT3G07020	Stable	ZT12
AT3G23410	Stable	ZT12
AT3G52290	Stable	ZT12
AT4G17100	Stable	ZT12
AT4G00752	Stable	ZT12
AT3G29375	Stable	ZT12
AT1G62740	Stable	ZT12
AT2G26460	Stable	ZT12
AT1G77850	Stable	ZT12
AT2G35690	Stable	ZT12
AT5G12260	Stable	ZT12
AT1G03190	Stable	ZT12
AT1G76320	Stable	ZT12
AT2G28130	Stable	ZT12
AT1G75080	Stable	ZT12
AT2G31440	Stable	ZT12
AT5G42970	Stable	ZT12
AT3G12140	Stable	ZT12
AT2G20980	Stable	ZT12
AT3G09360	Stable	ZT12
AT4G35987	Stable	ZT12
AT5G26110	Stable	ZT12
AT5G25070	Stable	ZT12
AT1G15970	Stable	ZT12
AT3G11100	Stable	ZT12
AT4G33060	Stable	ZT12
AT3G07890	Stable	ZT12
AT2G42780	Stable	ZT12
AT5G18110	Stable	ZT12
AT3G07800	Stable	ZT12
AT2G29910	Stable	ZT12
AT4G00500	Stable	ZT12
AT2G36300	Stable	ZT12
AT5G62620	Stable	ZT12
AT3G54130	Stable	ZT12
AT4G08460	Stable	ZT12
AT4G19040	Stable	ZT12
AT5G19070	Stable	ZT12
AT3G18270	Stable	ZT12
AT3G02130	Stable	ZT12
AT3G61790	Stable	ZT12
AT4G25210	Stable	ZT12
AT3G57390	Stable	ZT12
AT1G34020	Stable	ZT12
AT4G02880	Stable	ZT12
AT4G24530	Stable	ZT12
AT5G17550	Stable	ZT12
AT2G01330	Stable	ZT12
AT3G45750	Stable	ZT12
AT3G50110	Stable	ZT12
AT1G02960	Stable	ZT12
AT2G47210	Stable	ZT12
AT1G74680	Stable	ZT12
AT5G55700	Stable	ZT12
AT1G60440	Stable	ZT12
AT4G34540	Stable	ZT12
AT1G23950	Stable	ZT12
AT3G04680	Stable	ZT12
AT4G17240	Stable	ZT12
AT1G18700	Stable	ZT12
AT4G15520	Stable	ZT12
AT2G26680	Stable	ZT12
AT2G29560	Stable	ZT12
AT2G24640	Stable	ZT12
