tracking_id	FPKM_WT_ZT12_seedling_11	TPM_WT_ZT12_seedling_11	Raw_WT_ZT12_seedling_11
AT1G02930	72.5212	80.75332097	578
AT1G02940	1.17534	1.308756726	9
AT1G02950	11.7871	13.12509266	24
AT1G02952	2.16973	2.41602322	0
AT1G02960	9.29958	10.35520604	181
AT1G02965	0	0	0
AT1G02970	4.7492	5.28829738	86
AT1G02980	0.168606	0.187745024	2
AT1G02990	5.48279	6.105159604	253
AT1G03000	11.2209	12.49462142	342
AT1G03010	0.644643	0.717818556	11
AT1G03020	0.687778	0.765849953	2
AT1G03022	0	0	0
AT1G03030	17.9067	19.93934867	229
AT1G03040	42.6852	47.53053805	565
AT1G03050	0.0449989	0.050106874	0
AT1G03055	6.96864	7.759673346	53
AT1G03060	6.94465	7.732960162	837
AT1G03070	2.19994	2.449662456	17
AT1G03080	13.066	14.54916482	838
AT1G03090	9.70046	10.80159126	262
AT1G03100	3.08017	3.429810271	77
AT1G03103	0	0	0
AT1G03106	0.178472	0.198730946	0
AT1G03110	20.4608	22.783373	311
AT1G03120	0.880216	0.980132226	3
AT1G03130	275.663	306.9544177	2184
AT1G03140	27.1669	30.25070456	396
AT1G03150	29.0263	32.32117119	181
AT1G03160	34.3805	38.28314412	950
AT1G03170	0.724912	0.807199156	7
AT1G03180	5.62274	6.260995791	53
AT1G03190	5.68252	6.327561616	155
AT1G03200	6.70497	7.466073293	18
AT1G03210	21.5139	23.95601386	185
AT1G03220	139.082	154.8696572	1755
AT1G03230	21.3945	23.82306037	263
AT1G03240	0.384725	0.428396406	1
AT1G03250	29.2746	32.59765655	325
AT1G03260	6.85504	7.633178234	83
AT1G03270	5.07616	5.65237169	79
AT1G03280	18.716	20.84051498	397
AT1G03290	11.4261	12.72311435	226
AT1G03300	3.06096	3.408419681	76
AT1G03310	37.8015	42.09247313	1072
AT1G03320	0.631578	0.703270505	4
AT1G03330	72.0125	80.18687675	374
AT1G03340	4.60877	5.131926707	56
AT1G03350	25.2933	28.16442603	463
AT1G03360	20.6972	23.04660754	274
AT1G03365	8.36607	9.315730241	245
AT1G03370	8.60587	9.582750731	326
AT1G03380	11.4084	12.70340517	420
AT1G03390	0	0	0
AT1G03400	9.36643	10.42964441	115
AT1G03410	1.70617	1.899842993	44
AT1G03420	40.8479	45.48468006	0
AT1G03430	18.9776	21.13181006	166
AT1G03440	13.5676	15.10770309	169
AT1G03445	0.652936	0.727052922	17
AT1G03457	6.39638	7.122454223	114
AT1G03470	7.63638	8.503210719	93
AT1G03475	242.096	269.5771167	3269
AT1G03490	0	0	0
AT1G03495	35.7074	39.76066493	505
AT1G03502	59.9156	66.71681767	1
AT1G03506	1122.65	1250.08571	2
AT1G03510	3.71086	4.132091977	46
AT1G03515	0	0	0
AT1G03520	7.01701	7.813533984	117
AT1G03530	8.18652	9.115798928	262
AT1G03540	1.40951	1.569508136	27
AT1G03545	1.72018	1.915443314	1
AT1G03550	7.44778	8.29320211	31
AT1G03560	4.69837	5.231697499	104
AT1G03570	0	0	0
AT1G03590	13.539	15.07585661	284
AT1G03600	470.25	523.6296309	2688
AT1G03610	10.6666	11.877401	145
AT1G03620	2.19959	2.449272727	18
AT1G03630	244.099	271.8074838	3302
AT1G03640	0	0	0
AT1G03650	5.52063	6.147294947	45
AT1G03660	6.88253	7.663788715	20
AT1G03670	0	0	0
AT1G03680	529.499	589.6041806	3539
AT1G03687	16.1614	17.9959339	224
AT1G03700	3.87726	4.31738059	20
AT1G03710	0.116906	0.130176386	2
AT1G03720	0	0	0
AT1G03730	14.659	16.32299151	106
AT1G03740	10.975	12.2208085	348
AT1G03743	0	0	0
AT1G03746	0	0	0
AT1G03750	2.28349	2.542696493	66
AT1G03760	9.52524	10.60648146	135
AT1G03770	3.51397	3.912852342	71
AT1G03780	12.0746	13.44522773	349
AT1G03790	0.0789425	0.087903524	1
AT1G03800	2.31171	2.574119838	18
AT1G03810	0	0	0
AT1G03820	38.3567	42.71069572	318
AT1G03830	5.04721	5.620135479	196
AT1G03840	6.38659	7.111552928	104
AT1G03850	16.5104	18.38455004	95
AT1G03860	98.3976	109.5670366	1195
AT1G03870	76.1749	84.82176453	631
AT1G03880	0	0	0
AT1G03890	0	0	0
AT1G03900	67.7505	75.44108305	777
AT1G03905	8.05334	8.967501226	100
AT1G03910	24.7172	27.52293102	649
AT1G03920	2.36815	2.636966529	49
AT1G03930	21.5626	24.01024195	481
AT1G03935	0	0	1
AT1G03940	9.57399	10.66076523	45
AT1G03950	13.3933	14.91361772	130
AT1G03960	8.9381	9.952693256	191
AT1G03970	3.70008	4.120088303	35
AT1G03980	2.89148	3.219701446	11
AT1G03982	0	0	0
AT1G03990	0.88612	0.986706408	31
AT1G04000	19.8554	22.10925204	149
AT1G04010	7.70852	8.583539569	186
AT1G04020	10.9214	12.16112419	270
AT1G04030	5.25417	5.850588193	92
AT1G04040	88.8478	98.93320727	536
AT1G04050	1.9484	2.16956932	60
AT1G04070	19.9498	22.2143677	81
AT1G04080	52.583	58.55187003	1517
AT1G04090	1.01714	1.132598921	21
AT1G04100	4.31529	4.805132822	49
AT1G04110	4.78428	5.327359427	127
AT1G04120	22.5727	25.13500174	1124
AT1G04130	10.6133	11.81805074	144
AT1G04140	38.7524	43.15131293	1181
AT1G04150	0.156499	0.174263718	6
AT1G04160	4.06201	4.523102173	220
AT1G04170	86.4583	96.27246723	1530
AT1G04171	0	0	0
AT1G04180	2.40401	2.676897116	30
AT1G04190	41.1782	45.8524735	529
AT1G04200	16.4698	18.3393414	405
AT1G04210	21.1815	23.58588203	816
AT1G04220	11.0643	12.32024524	157
AT1G04230	7.0324	7.830670954	97
AT1G04240	18.8141	20.94975064	195
AT1G04250	52.4311	58.38272736	533
AT1G04260	25.7225	28.64234594	152
AT1G04270	703.038	782.8421657	4634
AT1G04280	19.4191	21.62342619	383
AT1G04290	13.1996	14.6979302	5
AT1G04295	18.0355	20.08276918	0
AT1G04300	15.6556	17.43271887	625
AT1G04310	3.11763	3.47152248	77
AT1G04320	0	0	0
AT1G04330	2.56169	2.852475894	13
AT1G04340	51.569	57.42276754	339
AT1G04350	37.767	42.05405692	450
AT1G04360	3.74541	4.170563861	47
AT1G04370	0	0	0
AT1G04380	0.0913268	0.101693607	3
