"tracking_id"	"TPM_ZT0_seedling1"	"TPM_ZT0_seedling10"	"TPM_ZT0_seedling12"	"TPM_ZT0_seedling13"	"TPM_ZT0_seedling14"	"TPM_ZT0_seedling15"	"TPM_ZT0_seedling16"	"TPM_ZT0_seedling2"	"TPM_ZT0_seedling4"	"TPM_ZT0_seedling5"	"TPM_ZT0_seedling6"	"TPM_ZT0_seedling7"	"TPM_ZT0_seedling8"	"TPM_ZT0_seedling9"
"AT1G52850"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52855"	0	0.96773	0.856943	0.597963	0.978967	0.568638	0.747262	0.573332	2.184257	0.894945	0.464901	1.023152	0	0.217051
"AT1G52857"	0	0.717482	0	0.25719	0	0	0	0	0	0.582561	0	0	0	0
"AT1G52860"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52870"	228.618591	180.927628	248.737961	159.468521	162.294891	194.811691	205.707733	152.790649	164.20282	177.6185	189.063232	168.674057	178.981506	210.398285
"AT1G52880"	5.19394	5.163506	5.354142	5.141198	5.044498	3.78296	3.971602	5.593061	2.868518	4.72367	4.690795	4.468223	6.217972	5.226021
"AT1G52890"	0	0	0.354342	0	0.106264	0	0.128287	0.738204	0	0.088686	0	0.177283	0	0.371364
"AT1G52900"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52905"	23.571005	24.691641	21.599131	23.497995	23.623779	20.941357	15.282341	15.819986	14.660262	23.598272	23.570732	13.528188	11.495994	20.144514
"AT1G52910"	13.307811	18.625418	13.454356	20.597879	25.289988	15.771909	21.735308	11.670209	10.30218	16.742867	18.607422	14.381572	20.33227	20.163826
"AT1G52920"	0.199203	0.621748	0.877824	0.377699	0.906231	0.781666	0.37181	0	0.586216	0.550421	1.718254	0.603619	0.786376	0.612706
"AT1G52930"	32.556175	50.677723	35.789345	44.223434	52.00592	31.264059	30.111191	23.538193	27.3902	32.561398	30.704594	24.957352	34.068432	31.187128
"AT1G52940"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52942.1"	0	0	0	0	0.370621	0	0	0	0	0	0.695911	0	0	0.054148
"AT1G52950"	0.157935	0.146008	0.251012	0.263088	0.3601	0.443313	0.239101	0.185165	0	0.068656	0.252565	0	0.162408	0.070564
"AT1G52960"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52970"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G52980"	67.56736	90.412544	78.06337	77.197044	85.20829	84.690155	77.223015	86.32933	79.558716	76.358604	67.201012	89.036629	69.25663	78.523621
"AT1G52990"	0.555369	0.812924	0.249044	0.572185	0.639726	0.622615	0.322082	0.310003	0.743261	0.200267	0.531476	0.299123	0.567233	0.939191
"AT1G53000"	35.739891	41.448406	35.057987	33.621124	42.778904	43.692089	40.039013	37.734798	35.914326	37.329533	36.003613	44.161377	37.211414	44.5924
"AT1G53010"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G53020.1"	0	0.037855	0.088653	0	0.010288	0.03063	0	0	0	0	0	0.016634	0	0
"AT1G53023"	0	0	0	0	0	0	0.14065	0.162308	0	0	0	0	0	0
"AT1G53025"	4.469523	6.240793	4.847686	6.191377	5.286813	5.574395	4.911	6.583515	4.346326	5.438188	4.250558	6.131977	6.728817	5.444773
"AT1G53030"	19.925226	33.818569	25.103573	24.823421	27.69475	38.204399	35.26046	31.390465	20.455942	23.689713	18.643549	23.622261	19.697168	28.679201
"AT1G53035"	1.089083	3.188469	2.211986	2.910862	3.501625	3.030347	2.876925	1.843503	0.944097	2.968591	2.98772	1.864385	1.292702	2.803589
"AT1G53039"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AT1G53040"	15.913843	20.511984	13.907184	17.711359	18.43067	15.617934	16.608789	16.228737	11.809312	16.267567	15.676311	15.38741	13.17078	15.893853
