Sample	type	ZT	seedling
TPM_WT_ZT22_seedling_16	TPM	ZT22	seedling16
TPM_WT_ZT22_seedling_2	TPM	ZT22	seedling2
TPM_WT_ZT22_seedling_3	TPM	ZT22	seedling3
TPM_WT_ZT22_seedling_4	TPM	ZT22	seedling4
TPM_WT_ZT22_seedling_5	TPM	ZT22	seedling5
TPM_WT_ZT22_seedling_8	TPM	ZT22	seedling8
TPM_WT_ZT22_seedling_9	TPM	ZT22	seedling9
TPM_WT_ZT24_seedling_1	TPM	ZT24	seedling1
TPM_WT_ZT24_seedling_10	TPM	ZT24	seedling10
TPM_WT_ZT24_seedling_12	TPM	ZT24	seedling12
TPM_WT_ZT24_seedling_13	TPM	ZT24	seedling13
TPM_WT_ZT24_seedling_14	TPM	ZT24	seedling14
TPM_WT_ZT24_seedling_15	TPM	ZT24	seedling15
TPM_WT_ZT24_seedling_16	TPM	ZT24	seedling16
TPM_WT_ZT24_seedling_2	TPM	ZT24	seedling2
TPM_WT_ZT24_seedling_4	TPM	ZT24	seedling4
TPM_WT_ZT24_seedling_5	TPM	ZT24	seedling5
TPM_WT_ZT24_seedling_6	TPM	ZT24	seedling6
TPM_WT_ZT24_seedling_7	TPM	ZT24	seedling7
TPM_WT_ZT24_seedling_8	TPM	ZT24	seedling8
TPM_WT_ZT24_seedling_9	TPM	ZT24	seedling9
