Name	entropyloG2
AT4G13980	5.668360301
AT4G14210	5.821813586
AT4G14040	5.845546744
AT4G14880	5.908464769
AT4G14910	5.877133726
AT4G16420	5.943444464
AT4G15470	5.917401838
AT4G16490	5.890736462
AT4G16155	5.732238351
AT4G15093	5.352206203
AT4G16660	5.878967146
AT4G14340	5.949280483
AT4G16100	5.946096362
AT4G16370	5.700650144
AT4G16510	5.93663515
AT4G15010	5.960254448
AT4G17530	5.844487219
AT4G16350	5.6080448
AT4G17190	5.706509852
AT4G17695	5.644198435
AT4G17010	5.934120665
AT4G15630	5.568291346
AT4G17215	4.523902082
AT4G14690	4.782625419
AT4G16770	5.820496516
AT4G17486	5.931686038
AT4G15140	5.620001936
AT4G13950	5.808763683
AT4G14320	5.804162364
AT4G14600	5.952778909
AT4G15420	5.87901475
AT4G16745	4.565962626
AT4G14800	5.921697604
AT4G14000	5.918379334
AT4G15610	4.490361152
AT4G16985	5.422083757
AT4G16146	5.52307949
AT4G16444	5.921017378
AT4G15545	5.71538242
AT4G14815	3.906724587
AT4G16500	5.845984678
AT4G17260	5.778780058
AT4G14130	4.97084055
AT4G14100	5.916556068
AT4G16850	5.910119799
AT4G14465	4.925563725
AT4G14365	4.865952491
AT4G14930	5.771540767
AT4G14410	5.871418278
AT4G15940	5.818910434
AT4G14615	5.953662626
AT4G15800	5.638398108
AT4G16160	2.959605116
AT4G16515	5.272760442
AT4G16566	5.956342631
AT4G16442	5.607698278
AT4G16120	5.948188703
AT4G14420	5.841708271
AT4G16447	5.651078728
AT4G16720	5.842148446
AT4G15830	5.33758936
AT4G15475	5.949110365
AT4G16640	4.801779261
AT4G17090	5.307021982
AT4G14890	5.578486217
AT4G17770	5.790541532
AT4G16690	5.489563628
AT4G16830	5.887230811
AT4G17640	5.947508001
AT4G15490	5.457148613
AT4G16000	5.159453425
AT4G17600	5.527755029
AT4G17390	5.816766912
AT4G13940	5.880532957
AT4G17560	5.517568271
AT4G15900	5.914364515
AT4G14430	5.894806474
AT4G16330	5.929576027
AT4G17790	5.312884846
AT4G17460	5.688968173
AT4G15120	5.335136722
AT4G15790	5.789726479
AT4G17720	5.840878877
AT4G14965	5.935953392
AT4G16265	5.835844162
AT4G15510	5.581682524
AT4G16840	5.89386343
AT4G15750	3.023217296
AT4G15000	5.794687327
AT4G14716	5.902980794
AT4G17620	5.943362059
AT4G17660	5.699347684
AT4G17690	3.585923418
AT4G17710	5.944242812
AT4G17750	5.902605856
AT4G17800	3.956652478
AT4G17810	5.439517848
AT4G14020	4.755622223
AT4G14010	5.205757682
AT4G17520	5.846216423
AT4G16410	5.662890883
AT4G17480	5.499919763
AT4G17650	5.807084843
AT4G16520	5.873227834
AT4G15680	5.182219695
AT4G16260	4.33419861
AT4G16450	5.931096218
AT4G17420	5.929126022
AT4G14870	5.713282362
AT4G14560	5.848205268
AT4G14900	5.783209834
AT4G17340	5.173113854
AT4G17040	5.85830753
AT4G17670	5.548488154
AT4G17610	5.799315767
AT4G17150	5.94925755
AT4G17170	5.808665784
AT4G17180	5.902090571
AT4G17220	4.570235557
AT4G17240	5.725705434
AT4G17280	4.735387917
AT4G17300	5.816594645
AT4G17330	5.915100553
AT4G17350	5.884707224
AT4G17360	5.679224052
AT4G17370	5.754555344
AT4G17410	5.885561052
AT4G17430	5.931678934
AT4G17470	4.855789184
AT4G17483	5.130274196
AT4G17510	5.934890313
AT4G17540	5.708399414
AT4G17550	5.522528125
AT4G17570	5.901209715
AT4G17060	5.911507043
AT4G17080	5.935700679
AT4G17100	5.885901673
AT4G17110	5.894769061
AT4G17120	5.910641827
AT4G16620	4.435920568
AT4G16630	5.892432105
AT4G16650	5.900211404
AT4G16670	5.482425155
AT4G16710	5.928869649
AT4G16730	5.662216784
AT4G16740	5.045928285
AT4G16800	5.867666697
AT4G16860	5.391870911
AT4G16870	5.798218901
AT4G16880	5.752496659
AT4G16890	5.820259081
AT4G16950	5.698523186
AT4G16960	5.903396793
AT4G16970	5.841231566
AT4G16990	5.218937111
AT4G17000	5.72520714
AT4G17020	5.948734011
AT4G17030	5.611094883
