Gene	ZT0_effect.size	ZT0_p.value	ZT0_q.value	ZT0_Mean	ZT0_CV2	ZT0_TechNoise	ZT0_BioVar	ZT0_Stable	ZT0_Type
AT3G28700	-0.049093342	0.999994454	0.999999999	9.142857143	0.005258413	0.054351755	-0.049093342	-0.000891481	Stable
AT5G64560	-0.049093342	0.999994454	0.999999999	9.142857143	0.005258413	0.054351755	-0.049093342	-0.000891481	Stable
AT4G35910	-0.039921402	0.99999536	0.999999999	11.35714286	0.00430241	0.044223812	-0.039921402	-0.000882919	Stable
AT4G16440	-0.041401306	0.999995166	0.999999999	10.92857143	0.004462452	0.045863758	-0.041401306	-0.000879062	Stable
AT5G13160	-0.023383698	0.999997376	0.999999999	20.14285714	0.002600086	0.025983784	-0.023383698	-0.000848097	Stable
AT1G69910	-0.042138057	0.999994745	0.999999999	10.71428571	0.004594872	0.046732929	-0.042138057	-0.00082942	Stable
AT2G27090	-0.042138057	0.999994745	0.999999999	10.71428571	0.004594872	0.046732929	-0.042138057	-0.00082942	Stable
AT5G54110	-0.010070297	0.999999357	0.999999999	53.42857143	0.001224161	0.011294458	-0.010070297	-0.000825039	Stable
AT2G23200	-0.079154389	0.999991895	0.999999999	5.571428571	0.008496435	0.087650823	-0.079154389	-0.0008248	Stable
AT2G31320	-0.079154389	0.999991895	0.999999999	5.571428571	0.008496435	0.087650823	-0.079154389	-0.0008248	Stable
AT2G26190	-0.024720678	0.999996959	0.999999999	18.92857143	0.002775694	0.027496371	-0.024720678	-0.000816546	Stable
AT1G34190	-0.014707407	0.999998592	0.999999999	33.85714286	0.001725562	0.016432969	-0.014707407	-0.00081302	Stable
AT5G47970	-0.035618881	0.999995355	0.999999999	12.78571429	0.003932462	0.039551343	-0.035618881	-0.00080787	Stable
AT5G24590	-0.027827981	0.999996411	0.999999999	16.64285714	0.003114386	0.030942368	-0.027827981	-0.000806043	Stable
AT4G04920	-0.038239602	0.999994953	0.999999999	11.85714286	0.004220776	0.042460377	-0.038239602	-0.000796607	Stable
AT2G01410	-0.021851127	0.999997268	0.999999999	21.64285714	0.002498498	0.024349625	-0.021851127	-0.000794051	Stable
AT5G62030	-0.057693128	0.999993024	0.999999999	7.714285714	0.006278358	0.063971486	-0.057693128	-0.000787702	Stable
AT1G50260	-0.039341959	0.999994652	0.999999999	11.5	0.004362367	0.043704327	-0.039341959	-0.000773487	Stable
AT2G18030	-0.015134556	0.999998267	0.999999999	32.64285714	0.001820233	0.016954789	-0.015134556	-0.000768046	Stable
AT4G27040	-0.02235838	0.999996963	0.999999999	21.07142857	0.002586348	0.024944728	-0.02235838	-0.000762878	Stable
AT5G13850	-0.005403873	0.999999745	0.999999999	124.9285714	0.000803027	0.006206901	-0.005403873	-0.000761643	Stable
AT2G36950	-0.00904127	0.999999272	0.999999999	60.71428571	0.001186479	0.010227748	-0.00904127	-0.00076113	Stable
AT5G59880	-0.003273413	0.999999906	0.999999999	326.7857143	0.000585164	0.003858577	-0.003273413	-0.000755857	Stable
AT5G50520	-0.021871793	0.999996943	0.999999999	21.57142857	0.002550495	0.024422289	-0.021871793	-0.000748974	Stable
AT1G24267	-0.01745338	0.999997703	0.999999999	27.71428571	0.002088835	0.019542214	-0.01745338	-0.000745866	Stable
AT1G10430	-0.015399256	0.999998031	0.999999999	31.92857143	0.001881027	0.017280283	-0.015399256	-0.000738251	Stable
AT5G51290	-0.030180051	0.999995517	0.999999999	15.21428571	0.003441862	0.033621913	-0.030180051	-0.000733762	Stable
AT5G64380	-0.021984454	0.99999677	0.999999999	21.42857143	0.002584615	0.024569069	-0.021984454	-0.000728833	Stable
AT1G27150	-0.014133282	0.999998202	0.999999999	35.21428571	0.001759063	0.015892345	-0.014133282	-0.000728031	Stable
AT5G08190	-0.022669844	0.999996605	0.999999999	20.71428571	0.002663496	0.02533334	-0.022669844	-0.00072274	Stable
AT3G07740	-0.045832588	0.999993543	0.999999999	9.785714286	0.00510662	0.050939209	-0.045832588	-0.00071827	Stable
AT2G03470	-0.021450473	0.99999676	0.999999999	22	0.002542912	0.023993384	-0.021450473	-0.00071571	Stable
AT3G06410	-0.027408547	0.999995773	0.999999999	16.85714286	0.00317106	0.030579607	-0.027408547	-0.00071482	Stable
AT3G14090	-0.050424313	0.999993032	0.999999999	8.857142857	0.005603138	0.05602745	-0.050424313	-0.000706347	Stable
AT5G16830	-0.010249702	0.99999879	0.999999999	51.5	0.00137764	0.011627342	-0.010249702	-0.000703263	Stable
AT4G19540	-0.037710026	0.999994251	0.999999999	12	0.004273504	0.04198353	-0.037710026	-0.000698464	Stable
